,citing author name,citing paper title,cited paper title,affiliation,latitude,longitude,county,city,state,country
121,Abdelrahman Kaseb,Team_Zero at StanceEval2024: Frozen PLMs for Arabic Stance Detection,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Cairo University,30.02681195,31.205918565430267,,Giza,Giza,Egypt
122,shaowen wang,LoRA-GA: Low-Rank Adaptation with Gradient Approximation,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Tsinghua University,40.002290450000004,116.3209629696906,,Haidian District,Beijing,China
123,Wenbo Li,Controlnext: Powerful and efficient control for image and video generation,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,The Chinese University of Hong Kong,22.4201838,114.20791453524086,,Sha Tin District,Hong Kong,China
124,Yuechen Zhang,Controlnext: Powerful and efficient control for image and video generation,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,The Chinese University of Hong Kong,22.4201838,114.20791453524086,,Sha Tin District,Hong Kong,China
125,jonathan bourne,Scrambled text: training Language Models to correct OCR errors using synthetic data,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,University College London,51.52420305,-0.13300072425929543,,London,England,United Kingdom
126,Xiaoyang Liu,"A Survey on Medical Large Language Models: Technology, Application, Trustworthiness, and Future Directions",Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Zhejiang University,30.521595,120.7195312,,Haining,Zhejiang,China
127,chengcui zhang,CheckGuard: Advancing Stolen Check Detection with a Cross-Modal Image-Text Benchmark Dataset,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,florida international university,25.7553898,-80.3762832779774,Miami-Dade County,,Florida,United States
128,Zhijia Zhao,Core Graph: Exploiting edge centrality to speedup the evaluation of iterative graph queries,MEGA Evolving Graph Accelerator,University of California,37.875499649999995,-122.23906851395179,Alameda County,Berkeley,California,United States
129,Jian Xu,Privacy in LLM-based Recommendation: Recent Advances and Future Directions,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Visiting Scholar,41.081478849999996,-74.17933115000001,Bergen County,,New Jersey,United States
130,Wei Xue,NoRA: Nested Low-Rank Adaptation for Efficient Fine-Tuning Large Models,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,HKUST,22.3387645,114.2619042,,Sai Kung District,Hong Kong,China
131,Aniello Panariello,Clip with generative latent replay: a strong baseline for incremental learning,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Reggio Emilia,44.6086674,10.594066675914796,Reggio nell'Emilia,,Emilia-Romagna,Italy
132,Shiming Xiang,A Survey of Low-shot Vision-Language Model Adaptation via Representer Theorem,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Institute of Automation,54.1720834,12.0790983,,Rostock,Mecklenburg-Vorpommern,Germany
133,Hanjiang Luo,Integration of llms and the physical world: Research and application,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,College of Computer Science & Engineering,32.88184425,-117.23355834623746,San Diego County,San Diego,California,United States
134,Dingkang Yang,Efficiency in focus: Layernorm as a catalyst for fine-tuning medical visual language pre-trained models,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Fudan University,31.30116485,121.49808756382322,,Yangpu District,Shanghai,China
135,Chao Gao,Mega evolving graph accelerator,CommonGraph: Graph Analytics on Evolving Data,Riverside,33.9824949,-117.374238,Riverside County,Riverside,California,United States
136,Yufei Li,Mimonet: Multi-input multi-output on-device deep learning,MEGA Evolving Graph Accelerator,Riverside,33.9824949,-117.374238,Riverside County,Riverside,California,United States
137,Dan Jurafsky,Reft: Representation finetuning for language models,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Computer Science,40.80899825,-73.95987847188215,New York County,New York,New York,United States
138,Jian Xu,Privacy in LLM-based Recommendation: Recent Advances and Future Directions,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Zhejiang University,30.521595,120.7195312,,Haining,Zhejiang,China
139,Stefanie Jegelka,Learning on LoRAs: GL-Equivariant Processing of Low-Rank Weight Spaces for Large Finetuned Models,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,TUM,48.2655696,11.669345610437997,Landkreis München,,Bavaria,Germany
140,Fangrui Zhu,Zero-shot referring expression comprehension via structural similarity between images and captions,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Northeastern University,42.33895455,-71.08805803336392,Suffolk County,Boston,Massachusetts,United States
141,Yifan Zhou,Evaluation of openai o1: Opportunities and challenges of agi,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,University of Georgia,33.9404278,-83.37304904988295,Athens-Clarke County,Athens-Clarke County Unified Government,Georgia,United States
142,Mahbod Afarin,Expressway: Prioritizing Edges for Distributed Evaluation of Graph Queries,CommonGraph: Graph Analytics on Evolving Data,University of California,37.875499649999995,-122.23906851395179,Alameda County,Berkeley,California,United States
143,Yufei Li,Mimonet: Multi-input multi-output on-device deep learning,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,"University of California, Riverside",33.9642567,-117.3397858271953,Riverside County,Riverside,California,United States
144,Xiaojie Wang,Controlled Low-Rank Adaptation with Subspace Regularization for Continued Training on Large Language Models,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Beijing University of Posts and Telecommunications,39.960201350000006,116.35193481845945,,Haidian District,Beijing,China
145,Yuan Wu,BA-LoRA: Bias-Alleviating Low-Rank Adaptation to Mitigate Catastrophic Inheritance in Large Language Models,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Jilin University,43.880145999999996,125.30115101345075,,Changchun City,Jilin,China
146,Wael Jaafar,XLM for Autonomous Driving Systems: A Comprehensive Review,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,IT Engineering,50.3415593,18.9496712,,Bytom,Silesian Voivodeship,Poland
147,Yuanzhe Chen,StreamVoice+: Evolving into End-to-end Streaming Zero-shot Voice Conversion,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Bytedance,37.3555833,-121.931328,Santa Clara County,San Jose,California,United States
148,Zexin Li,Mimonet: Multi-input multi-output on-device deep learning,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,"University of California, Riverside",33.9642567,-117.3397858271953,Riverside County,Riverside,California,United States
149,Wei Wei (魏维),Mobile edge intelligence for large language models: A contemporary survey,Dlora: Distributed parameter-efficient fine-tuning solution for large language model,The university of Hong Kong,22.28269745,114.13845499995571,,Hong Kong Island,Hong Kong,China
150,Zexin Li,Mimonet: Multi-input multi-output on-device deep learning,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Riverside,33.9824949,-117.374238,Riverside County,Riverside,California,United States
151,Mahbod Afarin,Core Graph: Exploiting edge centrality to speedup the evaluation of iterative graph queries,MEGA Evolving Graph Accelerator,University of California,37.875499649999995,-122.23906851395179,Alameda County,Berkeley,California,United States
152,Junaid Akram,Fine-Tuning LLMs for Reliable Medical Question-Answering Services,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,The University of Sydney,-33.88890725,151.18941110261173,,Sydney,New South Wales,Australia
153,Zakieh Alizadehsani,Transformers in source code generation: A comprehensive survey,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Automation,33.588475620325426,-102.4275087012007,Hockley County,,Texas,United States
154,Abdelrahman Kaseb,Team_Zero at StanceEval2024: Frozen PLMs for Arabic Stance Detection,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,TA,40.54881555,17.08058012454743,Taranto,,Apulia,Italy
155,Yufei Li,: On-Device Real-Time Deep Reinforcement Learning for Autonomous Robotics,CommonGraph: Graph Analytics on Evolving Data,"University of California, Riverside",33.9642567,-117.3397858271953,Riverside County,Riverside,California,United States
156,Grigory Malinovsky,Randomized Asymmetric Chain of LoRA: The First Meaningful Theoretical Framework for Low-Rank Adaptation,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,King Abdullah University of Science,22.32237535,39.11738351837985,,Rabigh,Makkah Region,Saudi Arabia
157,Nael Abu-Ghazaleh,Core Graph: Exploiting edge centrality to speedup the evaluation of iterative graph queries,CommonGraph: Graph Analytics on Evolving Data,University of California,37.875499649999995,-122.23906851395179,Alameda County,Berkeley,California,United States
158,Yufei Li,Mimonet: Multi-input multi-output on-device deep learning,MEGA Evolving Graph Accelerator,"University of California, Riverside",33.9642567,-117.3397858271953,Riverside County,Riverside,California,United States
159,Wei Yang,Mimonet: Multi-input multi-output on-device deep learning,CommonGraph: Graph Analytics on Evolving Data,Dallas,32.7762719,-96.7968559,Dallas County,Dallas,Texas,United States
160,Hamed Zamani,Comparing retrieval-augmentation and parameter-efficient fine-tuning for privacy-preserving personalization of large language models,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,University of Massachusetts Amherst,42.386969300000004,-72.53018467326824,Hampshire County,,Massachusetts,United States
161,Xiaojun Dong,BYO: A Unified Framework for Benchmarking Large-Scale Graph Containers,CommonGraph: Graph Analytics on Evolving Data,Riverside,33.9824949,-117.374238,Riverside County,Riverside,California,United States
162,Kai Yao,Layer-wise Importance Matters: Less Memory for Better Performance in Parameter-efficient Fine-tuning of Large Language Models,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,University of Liverpool,53.40724285,-2.965833661018871,,Liverpool,England,United Kingdom
163,Taiqiang Wu,Mixture-of-Subspaces in Low-Rank Adaptation,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,The University of Hong Kong,22.28269745,114.13845499995571,,Hong Kong Island,Hong Kong,China
164,Francesco Periti,Automatically Generated Definitions and their utility for Modeling Word Meaning,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,KU Leuven,50.80571285,3.2915374489139757,Kortrijk,Kortrijk,West Flanders,Belgium
165,Liang Ding,CogSteer: Cognition-Inspired Selective Layer Intervention for Efficient Semantic Steering in Large Language Models,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,University of Sydney,-33.88890725,151.18941110261173,,Sydney,New South Wales,Australia
166,Zhaoying Li,InkStream: Real-time GNN Inference on Streaming Graphs via Incremental Update,CommonGraph: Graph Analytics on Evolving Data,National University of Singapore,1.2962018,103.77689765953073,,Singapore,,Singapore
167,Qiming Cao,Towards efficient heterogeneous multi-modal federated learning with hierarchical knowledge disentanglement,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Purdue University,40.430028,-86.92642114650494,Tippecanoe County,West Lafayette,Indiana,United States
168,Zeyu Han,Zero-shot referring expression comprehension via structural similarity between images and captions,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Northeastern University,42.33895455,-71.08805803336392,Suffolk County,Boston,Massachusetts,United States
169,Haoling Li,Gradient-Mask Tuning Elevates the Upper Limits of LLM Performance,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Tsinghua University,40.002290450000004,116.3209629696906,,Haidian District,Beijing,China
170,Nurlan Nazaraliyev,GPUVM: GPU-driven Unified Virtual Memory,CommonGraph: Graph Analytics on Evolving Data,University of California,37.875499649999995,-122.23906851395179,Alameda County,Berkeley,California,United States
171,Chao Gao,Mega evolving graph accelerator,CommonGraph: Graph Analytics on Evolving Data,"University of California, Riverside",33.9642567,-117.3397858271953,Riverside County,Riverside,California,United States
172,"Mohamed Amine Ferrag, PhD, SIEEE",Generative AI and Large Language Models for Cyber Security: All Insights You Need,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Guelma University,36.45227635,7.421105745663123,Guelma District,Guelma,Guelma,Algeria
173,Fei Zhao,CheckGuard: Advancing Stolen Check Detection with a Cross-Modal Image-Text Benchmark Dataset,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Birmingham,52.4796992,-1.9026911,,Birmingham,England,United Kingdom
174,Tianyu Huai,Recent Advances of Foundation Language Models-based Continual Learning: A Survey,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,East China Normal University,31.2284923,121.40211388976886,,Putuo District,Shanghai,China
175,Derek Lim,Learning on LoRAs: GL-Equivariant Processing of Low-Rank Weight Spaces for Large Finetuned Models,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,MIT,42.3582529,-71.0966272383055,Middlesex County,Cambridge,Massachusetts,United States
176,Zheng Lin,Mobile edge intelligence for large language models: A contemporary survey,Dlora: Distributed parameter-efficient fine-tuning solution for large language model,Institute of Information Engineering,18.5837559,73.7363713,Mulshi,,Maharashtra,India
177,Dingkang Yang,Efficiency in Focus: LayerNorm as a Catalyst for Fine-tuning Medical Visual Language Models,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Fudan University,31.30116485,121.49808756382322,,Yangpu District,Shanghai,China
178,Yifan Yang,Communication-Efficient and Tensorized Federated Fine-Tuning of Large Language Models,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,University of California,37.875499649999995,-122.23906851395179,Alameda County,Berkeley,California,United States
179,Liekang Zeng,Pluto and Charon: A Time and Memory Efficient Collaborative Edge AI Framework for Personal LLMs Fine-tuning,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Sun Yat-sen University,23.09960335,113.29235087324346,,Haizhu District,Guangdong Province,China
180,Xizhe Yin,Taming Misaligned Graph Traversals in Concurrent Graph Processing,CommonGraph: Graph Analytics on Evolving Data,Riverside,33.9824949,-117.374238,Riverside County,Riverside,California,United States
181,Laxman Dhulipala,BYO: A Unified Framework for Benchmarking Large-Scale Graph Containers,CommonGraph: Graph Analytics on Evolving Data,University of Maryland,48.0989816,11.582348947691202,,Munich,Bavaria,Germany
182,Yujiu Yang,Gradient-Mask Tuning Elevates the Upper Limits of LLM Performance,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Tsinghua university,40.002290450000004,116.3209629696906,,Haidian District,Beijing,China
183,Zexin Li,Mimonet: Multi-input multi-output on-device deep learning,MEGA Evolving Graph Accelerator,"University of California, Riverside",33.9642567,-117.3397858271953,Riverside County,Riverside,California,United States
184,Shengyuan Ye,Pluto and Charon: A Time and Memory Efficient Collaborative Edge AI Framework for Personal LLMs Fine-tuning,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Sun Yat-sen University,23.09960335,113.29235087324346,,Haizhu District,Guangdong Province,China
185,Che-Kai Liu,Towards cognitive ai systems: Workload and characterization of neuro-symbolic ai,MEGA Evolving Graph Accelerator,Georgia Institute of Technology,33.776094799999996,-84.3988076699857,Fulton County,Atlanta,Georgia,United States
186,Tianci Liu,Roselora: Row and column-wise sparse low-rank adaptation of pre-trained language model for knowledge editing and fine-tuning,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Purdue University,40.430028,-86.92642114650494,Tippecanoe County,West Lafayette,Indiana,United States
187,Hasan Abed Al Kader Hammoud,Randomized Asymmetric Chain of LoRA: The First Meaningful Theoretical Framework for Low-Rank Adaptation,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Technology,-0.2912908,36.0353719,Nakuru West,Kapkures ward,Nakuru,Kenya
188,Bowei He,Privacy in LLM-based Recommendation: Recent Advances and Future Directions,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,City University of Hong Kong,22.3400204,114.16971664362887,,Kowloon,Hong Kong,China
189,Yabiao Wang,SaRA: High-Efficient Diffusion Model Fine-tuning with Progressive Sparse Low-Rank Adaptation,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Tencent,13.7871932,100.5746341,,Bangkok,,Thailand
190,Soumya Ghosh, Trans-LoRA: Towards Data-Free Transferable Parameter Efficient Finetuning,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,IBM Research,37.21134775,-121.80832462522726,Santa Clara County,San Jose,California,United States
191,Samuel Kaski,LoKO: Low-Rank Kalman Optimizer for Online Fine-Tuning of Large Models,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,University of Manchester,53.466022550000005,-2.2330858190427176,,Manchester,England,United Kingdom
192,Daoyuan Wu,API-guided Dataset Synthesis to Finetune Large Code Models,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,HKUST,22.3387645,114.2619042,,Sai Kung District,Hong Kong,China
193,Mladjan Jovanovic,Trends and challenges of real-time learning in large language models: A critical review,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Singidunum University,44.782185850000005,20.47879052135909,City of Belgrade,Belgrade,Central Serbia,Serbia
194,Zhijia Zhao,Core Graph: Exploiting edge centrality to speedup the evaluation of iterative graph queries,MEGA Evolving Graph Accelerator,Riverside,33.9824949,-117.374238,Riverside County,Riverside,California,United States
195,Abbavaram Gowtham Reddy,Debiasing Machine Unlearning with Counterfactual Examples,Dlora: Distributed parameter-efficient fine-tuning solution for large language model,CISPA Helmholtz Center for Information Security,49.25934725,7.050970765191531,Regionalverband Saarbrücken,Saarbrücken,Saarland,Germany
196,Christopher Sandino,Efficient Source-Free Time-Series Adaptation via Parameter Subspace Disentanglement,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Apple,12.9822892,77.5962827,Bangalore North,Bengaluru,Karnataka,India
197,Nael Abu-Ghazaleh,Core Graph: Exploiting edge centrality to speedup the evaluation of iterative graph queries,MEGA Evolving Graph Accelerator,University of California,37.875499649999995,-122.23906851395179,Alameda County,Berkeley,California,United States
198,Shiming Xiang,A Survey of Low-shot Vision-Language Model Adaptation via Representer Theorem,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Chinese Academy of Sciences,39.90933665,116.32971461228999,,Beijing,Beijing,China
199,Rajiv Gupta,Taming Misaligned Graph Traversals in Concurrent Graph Processing,CommonGraph: Graph Analytics on Evolving Data,Riverside,33.9824949,-117.374238,Riverside County,Riverside,California,United States
200,Zexin Li,Mimonet: Multi-input multi-output on-device deep learning,Dlora: Distributed parameter-efficient fine-tuning solution for large language model,"University of California, Riverside",33.9642567,-117.3397858271953,Riverside County,Riverside,California,United States
201,Damai Dai,Let the Expert Stick to His Last: Expert-Specialized Fine-Tuning for Sparse Architectural Large Language Models,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Peking University,40.17336535,116.15722001868669,,Changping District,Beijing,China
202,Lothar Thiele,Mimonet: Multi-input multi-output on-device deep learning,CommonGraph: Graph Analytics on Evolving Data,ETH Zurich,47.413218,8.5374914,District Zurich,Zurich,Zurich,Switzerland
203,Yufei Li,Mimonet: Multi-input multi-output on-device deep learning,CommonGraph: Graph Analytics on Evolving Data,University of California,37.875499649999995,-122.23906851395179,Alameda County,Berkeley,California,United States
204,Guolei Yang,Memory-Efficient Fine-Tuning of Transformers via Token Selection,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Facebook,-1.2772989,36.76095918258451,,Nairobi,Nairobi County,Kenya
205,Zexin Li,Mimonet: Multi-input multi-output on-device deep learning,CommonGraph: Graph Analytics on Evolving Data,Riverside,33.9824949,-117.374238,Riverside County,Riverside,California,United States
206,Yuntong Hu,HiReview: Hierarchical Taxonomy-Driven Automatic Literature Review Generation,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Emory University,33.80045465,-84.31723780466274,DeKalb County,,Georgia,United States
207,Brian J. Wheatman,BYO: A Unified Framework for Benchmarking Large-Scale Graph Containers,CommonGraph: Graph Analytics on Evolving Data,University of Chicago,41.79139685,-87.60084387193544,Cook County,Chicago,Illinois,United States
208,Yufei Li,Mimonet: Multi-input multi-output on-device deep learning,Dlora: Distributed parameter-efficient fine-tuning solution for large language model,Riverside,33.9824949,-117.374238,Riverside County,Riverside,California,United States
209,Yite Wang,An exploration of advancing efficiency in learning-based systems,Dlora: Distributed parameter-efficient fine-tuning solution for large language model,ByteDance,37.3555833,-121.931328,Santa Clara County,San Jose,California,United States
210,Xiaokun Fang,Enabling Window-Based Monotonic Graph Analytics with Reusable Transitional Results for Pattern-Consistent Queries,CommonGraph: Graph Analytics on Evolving Data,School of Information,42.2790546,-83.7418415,Washtenaw County,Ann Arbor,Michigan,United States
211,Rajiv Gupta,Expressway: Prioritizing Edges for Distributed Evaluation of Graph Queries,CommonGraph: Graph Analytics on Evolving Data,University of California,37.875499649999995,-122.23906851395179,Alameda County,Berkeley,California,United States
212,Zexin Li,Mimonet: Multi-input multi-output on-device deep learning,Dlora: Distributed parameter-efficient fine-tuning solution for large language model,Riverside,33.9824949,-117.374238,Riverside County,Riverside,California,United States
213,Fan DANG,Integration of llms and the physical world: Research and application,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Tsinghua University,40.002290450000004,116.3209629696906,,Haidian District,Beijing,China
214,David Cox,: towards data-free Transferable Parameter Efficient Finetuning,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,VP,11.651909118954903,76.16787804365363,Sulthanbathery,,Kerala,India
215,Abhinav Jain,Prompt Tuning Strikes Back: Customizing Foundation Models with Low-Rank Prompt Adaptation,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Rice University,29.716791450000002,-95.40478113393792,Harris County,Houston,Texas,United States
216,Emanuele Frascaroli,Clip with generative latent replay: a strong baseline for incremental learning,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Reggio Emilia,44.6086674,10.594066675914796,Reggio nell'Emilia,,Emilia-Romagna,Italy
217,Xianhao Chen,Mobile edge intelligence for large language models: A contemporary survey,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,The University of Hong Kong,22.28269745,114.13845499995571,,Hong Kong Island,Hong Kong,China
218,David Cox,: towards data-free Transferable Parameter Efficient Finetuning,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,IBM Research,37.21134775,-121.80832462522726,Santa Clara County,San Jose,California,United States
219,Andrea Soltoggio,: On-Device Real-Time Deep Reinforcement Learning for Autonomous Robotics,CommonGraph: Graph Analytics on Evolving Data,Loughborough University,52.763845,-1.237258153986855,Leicestershire,Charnwood,England,United Kingdom
220,Xiaokang Yang,See further for parameter efficient fine-tuning by standing on the shoulders of decomposition,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Shanghai Jiao Tong University,31.200891149999997,121.4283949471511,,Xuhui District,Shanghai,China
221,Yifan Yang,Communication-Efficient and Tensorized Federated Fine-Tuning of Large Language Models,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,"University of California, Santa Barbara",34.414602450000004,-119.84581004701371,Santa Barbara County,,California,United States
222,Zishen Wan,Towards cognitive ai systems: Workload and characterization of neuro-symbolic ai,MEGA Evolving Graph Accelerator,Georgia Tech,33.776094799999996,-84.3988076699857,Fulton County,Atlanta,Georgia,United States
223,Yufei Li,Mimonet: Multi-input multi-output on-device deep learning,CommonGraph: Graph Analytics on Evolving Data,Riverside,33.9824949,-117.374238,Riverside County,Riverside,California,United States
224,Hasan Abed Al Kader Hammoud,Randomized Asymmetric Chain of LoRA: The First Meaningful Theoretical Framework for Low-Rank Adaptation,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,King Abdullah University of Science,22.32237535,39.11738351837985,,Rabigh,Makkah Region,Saudi Arabia
225,Hanjiang Luo,Integration of llms and the physical world: Research and application,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Shandong University of Science,36.001464350000006,120.1163655359479,,Huangdao District,Shandong,China
226,Mingze Sun,Combo: Co-speech holistic 3D human motion generation and efficient customizable adaptation in harmony,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Tsinghua University,40.002290450000004,116.3209629696906,,Haidian District,Beijing,China
227,Zexin Li,Mimonet: Multi-input multi-output on-device deep learning,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,University of California,37.875499649999995,-122.23906851395179,Alameda County,Berkeley,California,United States
228,Zexin Li,Mimonet: Multi-input multi-output on-device deep learning,CommonGraph: Graph Analytics on Evolving Data,University of California,37.875499649999995,-122.23906851395179,Alameda County,Berkeley,California,United States
229,Wei Yang,Mimonet: Multi-input multi-output on-device deep learning,MEGA Evolving Graph Accelerator,Dallas,32.7762719,-96.7968559,Dallas County,Dallas,Texas,United States
230,Yufei Li,: On-Device Real-Time Deep Reinforcement Learning for Autonomous Robotics,CommonGraph: Graph Analytics on Evolving Data,Riverside,33.9824949,-117.374238,Riverside County,Riverside,California,United States
231,Lei LIU,"A Survey on Medical Large Language Models: Technology, Application, Trustworthiness, and Future Directions",Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,"The Chinese University of Hong Kong, Shenzhen",22.6910685,114.20736597452726,,Longgang District,Guangdong Province,China
232,Xiaoxi He,Mimonet: Multi-input multi-output on-device deep learning,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,University of Macau,22.1283648,113.543778397594,,Macau,Macau,China
233,Mahbod Afarin,Mega evolving graph accelerator,CommonGraph: Graph Analytics on Evolving Data,Riverside,33.9824949,-117.374238,Riverside County,Riverside,California,United States
234,Yifan Yang,Communication-Efficient and Tensorized Federated Fine-Tuning of Large Language Models,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Santa Barbara,34.4221319,-119.702667,Santa Barbara County,Santa Barbara,California,United States
235,Aleksander Ficek,GPT vs RETRO: Exploring the Intersection of Retrieval and Parameter-Efficient Fine-Tuning,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,NVIDIA,45.5344957,-122.886274,Washington County,Hillsboro,Oregon,United States
236,Daoyuan Wu,API-guided Dataset Synthesis to Finetune Large Code Models,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,NTU,25.016817500000002,121.53845709079619,,Taipei,,Taiwan
237,Xiaolin Jiang,Core Graph: Exploiting edge centrality to speedup the evaluation of iterative graph queries,MEGA Evolving Graph Accelerator,UC Riverside,33.9642567,-117.3397858271953,Riverside County,Riverside,California,United States
238,Grigory Malinovsky,Randomized Asymmetric Chain of LoRA: The First Meaningful Theoretical Framework for Low-Rank Adaptation,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Technology,-0.2912908,36.0353719,Nakuru West,Kapkures ward,Nakuru,Kenya
239,Hong Jiang,An efficient SSSP algorithm on time-evolving graphs with prediction of computation results,CommonGraph: Graph Analytics on Evolving Data,University of Texas at Arlington,32.728471299999995,-97.11202127009975,Tarrant County,Arlington,Texas,United States
240,Zheng Lin,Mobile edge intelligence for large language models: A contemporary survey,Dlora: Distributed parameter-efficient fine-tuning solution for large language model,CAS,5.5000085,-71.5000086,,,Casanare,Colombia
241,Hasan Abed Al Kader Hammoud,Randomized Asymmetric Chain of LoRA: The First Meaningful Theoretical Framework for Low-Rank Adaptation,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,King Abdullah University of Science and Technology,22.32237535,39.11738351837985,,Rabigh,Makkah Region,Saudi Arabia
242,Adam Hakim,Slip: Securing llms ip using weights decomposition,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Tel Aviv University,32.112382249999996,34.80501795095419,,Tel Aviv,Tel-Aviv District,Israel
243,Dan Jurafsky,Reft: Representation finetuning for language models,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Stanford University,37.431313849999995,-122.16936535498309,Santa Clara County,,California,United States
244,Fang Wang,An efficient SSSP algorithm on time-evolving graphs with prediction of computation results,CommonGraph: Graph Analytics on Evolving Data,The Hong Kong Polytechnic University,22.304486699999998,114.17969345847592,,Kowloon,Hong Kong,China
245,Jacqueline Staub,Program Synthesis Benchmark for Visual Programming in XLogoOnline Environment,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,University of Trier,49.768058100000005,6.628690122060743,,Trier,Rhineland-Palatinate,Germany
